club,lega,città,provincia,sigla (provincia),regione,lat,long,brand_power_index,numero_brand_sponsor
Atalanta Bergamasca Calcio,Serie A,Bergamo,Bergamo,BG,Lombardia,45.695,9.67,0.006638742263878623,5.0
Bologna FC 1909,Serie A,Bologna,Bologna,BO,Emilia-Romagna,44.493889,11.342778,0.0004453262878594237,2.0
Cagliari Calcio,Serie A,Cagliari,Cagliari,CA,Sardegna ,41.89,12.492222,0.0021709372030392637,2.0
Como 1907,Serie A,Como,Como,CO,Lombardia,45.808589,9.085731,0.1315253175691241,1.0
AFC Fiorentina,Serie A,Siena,Siena,SI,Toscana,43.318333,11.331389,0.002269543162696416,2.0
Frosinone Calcio,Serie A,Frosinone,Frosinone,FR,Lazio,41.6333333,13.3166667,,
Genoa Cricket and Football Club,Serie A,Genova,Genova,GE,Liguria,41.89,12.492222,0.01128752763328559,2.0
Football Club Internazionale Milano (Inter),Serie A,Milano,Milano,MI,Lombardia,45.46145,9.1593,0.08744552660561773,7.0
Juventus FC,Serie A,Torino,Torino,TO,Piemonte,45.0735,7.6757,0.05431426620413259,3.0
SS Lazio,Serie A,Roma,Roma,RM,Lazio,41.89474,12.4839,0.0040160620072568175,3.0
US Lecce,Serie A,Lecce,Lecce,LE,Pugia,40.352,18.1691,,
AC Milan,Serie A,Milano,Milano,MI,Lombardia,45.46145,9.1593,0.0566645600711116,4.0
AC Monza,Serie A,Monza,Provincia di Monza e della Brianza,MB,Lombardia,45.5833333,92.666667,0.0014818852010217692,2.0
SS Napoli,Serie A,Napoli,Napoli,,Campania,40.836848,14.250992,0.10990622830294072,6.0
Parma Calcio 1913,Serie A,Parma,Parma,PR,Emilia-Romagna,44.8,10.35,0.061297091453382864,1.0
AS Roma,Serie A,Roma,Roma,RM,Lazio,41.89474,12.4839,0.057621558645458114,3.0
US Sassuolo Calcio,Serie A,Reggio Emilia,Reggio Emilia,RE,Emilia-Romagna,44.7,10.6333,0.08548745754552875,2.0
Torino FC,Serie A,Torino,Torino,TO,Piemonte,45.0735,7.6757,0.025049176868105767,4.0
Udinese Calcio,Serie A,Udine,Udine,UD,Friuli-Venezia_Giulia,46.0667,13.2333,0.0015452384220678507,2.0
Venezia FC,Serie A,Venezia,Venezia,VE,Veneto,45.4365,12.3279,0.46830171944725524,1.0
SS Arezzo,Serie B,Arezzo,Arezzo,AR,Toscana,43.463148,11.878244,0.06953171624306041,2.0
Ascoli Calcio,Serie B,Ascoli Pisceno,Ascoli Pisceno,AP,Marche,42.85322,13.57691,0.020192327401680955,1.0
US Avellino 1912,Serie B,Avellino,Avellino,AV,Campania,40.9152778,14.7897222,,
Benevento Calcio,Serie B,Benevento,Benevento,BN,Campania,41.1333,14.7833,0.46830171944725524,1.0
Carrarese Calcio 1908,Serie B,Carrara,Provincia di Massa-Carrara,MS,Toscana,44.083333,10.1,0.01581030291925104,1.0
US Catanzaro1929,Serie B,Catanzaro,Catanzaro,CZ,Calabria,38.9105994,16.5876794,,
Cesena FC,Serie B,Cesena,Provincia di Forlì-Cesena,FC,Emilia-Romagna,44.1392,12.2417,0.0007077489792454801,1.0
Unione sportiva Cremonese,Serie B,Cremona,Cremona,CR,Lombardia,45.1377,10.0253,,
Empoli FC,Serie B,Empoli,Firenze,FI,Toscana,43.71667,10.95,0.020192327401680955,1.0
Hellas Verona FC,Serie B,Verona,Verona,VR,Veneto,45.441456,10.988295,0.0012317777081398184,1.0
SS Juve Stabia,Serie B,Castellammare di Stabia,Napoli,,Campania,40.69921,14.48489,0.01581030291925104,1.0
L.R. Vicenza,Serie B,Vicenza,Vicenza,VI,Veneto,45.548,11.546,,
Mantova 1911,Serie B,Mantova,Mantova,MN,Lombardia,45.156389,10.791111,0.1315253175691241,1.0
Modena FC 1912,Serie B,Modena,Modena,MO,Emilia-Romagna,44.647128,10.925227,0.013025537494038451,2.0
Calcio Padova,Serie B,Padova,Padova,PD,Veneto,45.40773,11.87334,0.0007077489792454801,1.0
Palermo FC,Serie B,Palermo,Palermo,PA,Sicilia,38.1151,13.3508,0.039101590567601596,2.0
Pisa SC 1909,Serie B,Pisa,Pisa,PI,Toscana,43.7159276,10.401906,0.1315253175691241,1.0
UC Sampdoria,Serie B,Genova,Genova,GE,Liguria,41.89,12.492222,0.0007077489792454801,1.0
Fussball Club Sudtirol,Serie B,Appiano sulla Strada del Vino,Bolzano,BZ,Trentino-Alto-Adige,46.455333,11.259049,0.003644594438120383,3.0
Virtus Entella,Serie B,Chiavari,Genova,GE,Liguria,44.31757,9.3244561,0.036885601451787514,4.0
