brand,category,facebook,x,instagram,youtube
Adidas,Abbigliamento Sportivo,43000000.0,4120476.0,29400000.0,2190000.0
Nike,Abbigliamento Sportivo,39000000.0,9598061.0,298000000.0,2210000.0
Puma,Abbigliamento Sportivo,22000000.0,1857326.0,13000000.0,904000.0
Macron,Abbigliamento Sportivo,195000.0,47036.0,184000.0,2470.0
Joma,Abbigliamento Sportivo,531000.0,44770.0,231000.0,8300.0
New Balance,Abbigliamento Sportivo,9500000.0,311388.0,8700000.0,194000.0
Mizuno,Abbigliamento Sportivo,2200000.0,294438.0,119000.0,9570.0
u-power,Abbigliamento Sportivo,31300.0,1359000.0,39600.0,2710.0
Legea,Abbigliamento Sportivo,35200.0,1309000.0,24000.0,95000.0
Givova,Abbigliamento Sportivo,49900.0,2138000.0,49600.0,498000.0
Lacoste,Abbigliamento Sportivo,16000000.0,1110923.0,8600000.0,105000.0
The North Face,Abbigliamento Sportivo,7000000.0,659841.0,5500000.0,557000.0
Lotto,Abbigliamento Sportivo,1100000.0,11521.0,399000.0,2020.0
reebok,Abbigliamento Sportivo,10000000.0,644395.0,4300000.0,168000.0
Asics,Abbigliamento Sportivo,4800000.0,133440.0,1400000.0,47400.0
Kappa,Abbigliamento Sportivo,1100000.0,3723000.0,933000.0,4630.0
Diadora,Abbigliamento Sportivo,68200.0,,464000.0,14700.0
Champion,Abbigliamento Sportivo,1800000.0,46480.0,4500000.0,4860.0
Under Armour,Abbigliamento Sportivo,11000000.0,913086.0,8200000.0,304000.0
Salomon,Abbigliamento Sportivo,1500000.0,76090.0,1400000.0,293000.0
Umbro,Abbigliamento Sportivo,758200.0,165670.0,863000.0,16500.0
EA7,Abbigliamento Sportivo,8600000.0,3147936.0,19600000.0,257000.0
Ralph Lauren,Abbigliamento Sportivo,9400000.0,2217334.0,16700000.0,292000.0
Columbia,Abbigliamento Sportivo,2600000.0,122912.0,690000.0,156000.0
Lululemon,Abbigliamento Sportivo,3400000.0,864298.0,5400000.0,306000.0
Converse,Abbigliamento Sportivo,46000000.0,935286.0,10500000.0,157000.0
Ellesse,Abbigliamento Sportivo,,15119.0,389000.0,4050.0
Gucci,Moda,21000000.0,6861393.0,51500000.0,1460000.0
Armani,Moda,810422.0,3147936.0,5500000.0,257000.0
Hugo Boss,Moda,8600000.0,648440.0,12300000.0,263000.0
Dior,Moda,20000000.0,8850675.0,46800000.0,4130000.0
louis Vuitton,Moda,25000000.0,9537021.0,55900000.0,5440000.0
Moncler,Moda,3000000.0,1009196.0,5900000.0,54600.0
prada,Moda,8100000.0,1989266.0,34000000.0,395000.0
versace,Moda,7500000.0,4924770.0,29400000.0,671000.0
dolce e gabbana,Moda,12000000.0,4805873.0,30500000.0,647000.0
Chanel,Moda,24000000.0,11470973.0,59800000.0,2820000.0
Hermes,Moda,4000000.0,160275.0,15400000.0,420000.0
Givenchy,Moda,2700000.0,1094921.0,16000000.0,116000.0
Saint Laurent,Moda,3700000.0,3834716.0,13500000.0,410000.0
Valentino,Moda,3400000.0,2305472.0,18900000.0,177000.0
Fendi,Moda,3700000.0,1113343.0,21100000.0,258000.0
Burberry,Moda,17000000.0,7286918.0,20200000.0,430000.0
Dolce e Gabbana,Moda,12000000.0,4805969.0,30500000.0,647000.0
Moschino,Moda,1500000.0,498611.0,11600000.0,81200.0
