brand,category,facebook,x,instagram,youtube,facebook_log,x_log,instagram_log,youtube_log,facebook_log_z,x_log_z,instagram_log_z,youtube_log_z,cluster,PC1,PC2,cluster_name
Adidas,Abbigliamento Sportivo,43000000.0,4120476.0,29400000.0,2190000.0,17.57671069691365,15.231479491323134,17.196505266322514,14.599412558413583,0.9754006358020351,0.9293872406993349,1.1563705541280496,1.0823127035887357,0,2.071564566107623,0.14234605789779475,Brand ad alta presenza omnicanale
Nike,Abbigliamento Sportivo,39000000.0,9598061.0,298000000.0,2210000.0,17.479072229734946,16.077071761058566,19.512604047825384,14.60850352598252,0.9514802923812464,1.123962558339545,1.7309596197002928,1.0848500700050394,0,2.4641883155662194,0.001799064482915444,Brand ad alta presenza omnicanale
Puma,Abbigliamento Sportivo,22000000.0,1857326.0,13000000.0,904000.0,16.906553056777135,14.434648915301233,16.380459992348886,13.714585745568392,0.8112194338502382,0.7460322503759221,0.9539220682595416,0.8353500098893764,0,1.6750698416707888,0.0696997452160999,Brand ad alta presenza omnicanale
Macron,Abbigliamento Sportivo,195000.0,47036.0,184000.0,2470.0,12.180759965737863,10.75868980502856,12.122696471358964,7.81237820598861,-0.346547550204844,-0.09982566142537244,-0.10236464217416524,-0.8120063445821256,1,-0.6551607374460985,-0.5367789210661869,Brand con presenza media e bilanciata
Joma,Abbigliamento Sportivo,531000.0,44770.0,231000.0,8300.0,13.182519183461475,10.709315887371531,12.35017731849889,9.024131268455035,-0.101127633185543,-0.11118686475598442,-0.04593008573918512,-0.4737957523387885,1,-0.3511040476714472,-0.3408824937439515,Brand con presenza media e bilanciata
New Balance,Abbigliamento Sportivo,9500000.0,311388.0,8700000.0,194000.0,16.066802461833923,12.648798213416432,15.978833698567334,12.175618592671356,0.6054898356777431,0.33509842326566813,0.8542846612990996,0.4058111802825224,0,1.1134169588910237,-0.11008720108334524,Brand ad alta presenza omnicanale
Mizuno,Abbigliamento Sportivo,2200000.0,294438.0,119000.0,9570.0,14.603968372873895,12.592827129889196,11.686887175419702,9.166492972195906,0.24711168015511883,0.3222191766763087,-0.2104823347878415,-0.4340613892689988,1,-0.029064712911065105,-0.513377212302264,Brand con presenza media e bilanciata
u-power,Abbigliamento Sportivo,31300.0,1359000.0,39600.0,2710.0,10.351405324899678,14.122260428968183,10.586609649448985,7.905072849498666,-0.7947191828788046,0.6741499837908509,-0.4834445419988084,-0.7861344807095393,1,-0.6809726129044169,-0.46506072630519457,Brand con presenza media e bilanciata
Legea,Abbigliamento Sportivo,35200.0,1309000.0,24000.0,95000.0,10.468829770273567,14.084774808833686,10.085850775128717,11.461642696843066,-0.7659514938674834,0.665524341497678,-0.6076752423344771,0.20653443153302734,1,-0.2751832340894467,0.4171628593536335,Brand con presenza media e bilanciata
Givova,Abbigliamento Sportivo,49900.0,2138000.0,49600.0,498000.0,10.817796321618971,14.575381838293866,10.811766273800105,13.118357364036902,-0.6804585524914951,0.7784156509506394,-0.4275865900726977,0.6689375944591169,1,0.13506447392176354,0.7292114008063268,Brand con presenza media e bilanciata
Lacoste,Abbigliamento Sportivo,16000000.0,1110923.0,8600000.0,105000.0,16.588099342704055,13.920702659441229,15.967272877502799,11.561725152903833,0.7332017997725584,0.627770459719717,0.8514165965059354,0.2344682967617917,0,1.2427033669933831,-0.37907911556898716,Brand ad alta presenza omnicanale
The North Face,Abbigliamento Sportivo,7000000.0,659841.0,5500000.0,557000.0,15.76142084987672,13.39975569140391,15.520258832020865,13.230322314239945,0.5306747218861619,0.5078977676345824,0.7405191750563769,0.7001879649278249,0,1.2392601534123813,0.1540906074688897,Brand ad alta presenza omnicanale
Lotto,Abbigliamento Sportivo,1100000.0,11521.0,399000.0,2020.0,13.910821646859095,9.352013530292329,12.896719202134523,7.611347717403621,0.07729840669474222,-0.4235094186803743,0.08965868651970793,-0.8681156647970109,1,-0.5301895082793707,-0.7014386125928108,Brand con presenza media e bilanciata
reebok,Abbigliamento Sportivo,10000000.0,644395.0,4300000.0,168000.0,16.118095750958314,13.376068722941048,15.274125813221904,12.031725210748633,0.6180561236018621,0.5024472691170908,0.6794572970364755,0.3656493127969766,0,1.091945658133442,-0.15910256494347919,Brand ad alta presenza omnicanale
Asics,Abbigliamento Sportivo,4800000.0,133440.0,1400000.0,47400.0,15.38412668421143,11.80141471156929,14.151983508870947,10.766398604507042,0.43824182864076233,0.1401109335070771,0.4010707691191639,0.012485888553452066,1,0.5080254445150282,-0.26127462422059133,Brand con presenza media e bilanciata
Kappa,Abbigliamento Sportivo,1100000.0,3723000.0,933000.0,4630.0,13.910821646859095,15.130040621455409,13.746161551640268,8.440528106480752,0.07729840669474222,0.9060456125506388,0.3003924815365558,-0.6366843615449034,1,0.3567804183034612,-0.861905506307786,Brand con presenza media e bilanciata
Diadora,Abbigliamento Sportivo,68200.0,0.0,464000.0,14700.0,11.130214506480655,0.0,13.047641986378483,9.595670797663967,-0.6039195562461621,-2.5754579030267473,0.12710034585861932,-0.3142742057038799,3,-1.6720486937318881,0.5586064414505789,Brand con presenza social moderatamente inferiore alla media
Champion,Abbigliamento Sportivo,1800000.0,46480.0,4500000.0,4860.0,14.403297778421795,10.746798905924305,15.319588176962746,8.488999457045455,0.19794960630811165,-0.10256182110072289,0.6907358216439649,-0.623155595091485,1,0.1248190569924769,-0.7200728203765467,Brand con presenza media e bilanciata
Under Armour,Abbigliamento Sportivo,11000000.0,913086.0,8200000.0,304000.0,16.213405921671733,13.724586445289194,15.919644834185693,12.624786269856633,0.6414060601671936,0.5826430667328264,0.8396007995618807,0.5311777015836444,0,1.3060583872419622,-0.07173990493785493,Brand ad alta presenza omnicanale
Salomon,Abbigliamento Sportivo,1500000.0,76090.0,1400000.0,293000.0,14.220976332738882,11.239685271415658,14.151983508870947,12.587931300962664,0.1532828707506208,0.010853975801033209,0.4010707691191639,0.520891166114637,1,0.5376420557879686,0.3224796580392467,Brand con presenza media e bilanciata
Umbro,Abbigliamento Sportivo,758200.0,165670.0,863000.0,16500.0,13.538703800976718,12.01775917301022,13.668171128813444,9.711176264112805,-0.01386634551525527,0.1898929547142243,0.281044237612965,-0.2820356470197449,1,0.1066862900465888,-0.3388794346796378,Brand con presenza media e bilanciata
EA7,Abbigliamento Sportivo,8600000.0,3147936.0,19600000.0,257000.0,15.967272877502799,14.962257875612694,16.791040175221152,12.456835254920371,0.5811061894927678,0.8674379026231258,1.0557807996328106,0.4843011439838267,0,1.5121171134834537,-0.19879638260439048,Brand ad alta presenza omnicanale
Ralph Lauren,Abbigliamento Sportivo,9400000.0,2217334.0,16700000.0,292000.0,16.056220353623207,14.611816582280202,16.630919337267223,12.584512505902088,0.6028973363295815,0.7867994810044536,1.0160572423331975,0.5199369513179009,0,1.477962731063705,-0.14893451361792776,Brand ad alta presenza omnicanale
Columbia,Abbigliamento Sportivo,2600000.0,122912.0,690000.0,156000.0,14.77102238760702,11.719232067014644,13.444448325847754,11.957617696467539,0.2880380641685438,0.12120026610736706,0.22554199507914408,0.34496527487618545,1,0.4849472082413041,0.12268056557529339,Brand con presenza media e bilanciata
