brand,category,facebook,x,instagram,youtube,facebook_norm,x_norm,instagram_norm,youtube_norm,brand_power_index
Nike,Abbigliamento Sportivo,39000000.0,9598061.0,298000000.0,2210000.0,0.24074074074074073,0.30398677162367715,1.0,0.08185185185185186,0.46830171944725524
Red Bull,Bevande,60000000.0,1847316.0,31400000.0,27000000.0,0.37037037037037035,0.05850761179875443,0.10536912751677853,1.0,0.4197294104747597
google,Tecnologia,34000000.0,31573943.0,15700000.0,13900000.0,0.20987654320987653,1.0,0.052684563758389265,0.5148148148148148,0.364859350401856
apple,Tecnologia,15000000.0,9939381.0,35600000.0,20600000.0,0.09259259259259259,0.31479695139754954,0.11946308724832215,0.762962962962963,0.3364390306539526
Samsung,Tecnologia,162000000.0,750410.0,2600000.0,7710000.0,1.0,0.02376674968976792,0.0087248322147651,0.28555555555555556,0.29228537039529967
Coca-Cola,Bevande,108000000.0,2743443.0,3200000.0,4760000.0,0.6666666666666666,0.08688946451825798,0.010738255033557046,0.17629629629629628,0.20301403116170585
louis Vuitton,Moda,25000000.0,9537021.0,55900000.0,5440000.0,0.15432098765432098,0.302053531926627,0.18758389261744968,0.20148148148148148,0.20227103418041006
Chanel,Moda,24000000.0,11470973.0,59800000.0,2820000.0,0.14814814814814814,0.36330505189041484,0.20067114093959731,0.10444444444444445,0.18569362007538426
Dior,Moda,20000000.0,8850675.0,46800000.0,4130000.0,0.12345679012345678,0.28031579711156124,0.15704697986577182,0.15296296296296297,0.16759405943333458
huawei,Tecnologia,58000000.0,10220067.0,2000000.0,2160000.0,0.35802469135802467,0.32368675017877874,0.006711409395973154,0.08,0.14650694408701237
McDonald's,Alimentari,82000000.0,4573456.0,5500000.0,793000.0,0.5061728395061729,0.14484906113880044,0.018456375838926176,0.02937037037037037,0.1382327697267899
Gucci,Moda,21000000.0,6861393.0,51500000.0,1460000.0,0.12962962962962962,0.21731188277625002,0.17281879194630873,0.05407407407407407,0.13523150774579368
Adidas,Abbigliamento Sportivo,43000000.0,4120476.0,29400000.0,2190000.0,0.2654320987654321,0.13050242093614978,0.09865771812080537,0.0811111111111111,0.1315253175691241
qatar,Aviazione,30000000.0,1895672.0,8000000.0,6360000.0,0.18518518518518517,0.0600391278339864,0.026845637583892617,0.23555555555555555,0.12610554603316407
Mercedes,Auto,23000000.0,3919979.0,39300000.0,2070000.0,0.1419753086419753,0.1241523429620431,0.13187919463087247,0.07666666666666666,0.11617563129350689
xiamoi,Tecnologia,16000000.0,4345973.0,295000.0,6280000.0,0.09876543209876543,0.13764429105354373,0.0009899328859060404,0.2325925925925926,0.11052398436562953
BMW,Auto,20000000.0,2669046.0,43400000.0,1920000.0,0.12345679012345678,0.08453318611489227,0.14563758389261744,0.07111111111111111,0.10967782363767463
Microsoft,Tecnologia,13000000.0,13083999.0,4500000.0,2180000.0,0.08024691358024691,0.4143923044391383,0.015100671140939598,0.08074074074074074,0.10771568550347121
binance,Criptovalute,2400000.0,15404953.0,4800000.0,1220000.0,0.014814814814814815,0.4879008301243845,0.016107382550335572,0.04518518518518518,0.09534122692979365
Monster Energy,Bevande,25000000.0,2696180.0,10100000.0,3540000.0,0.15432098765432098,0.08539256563553053,0.03389261744966443,0.13111111111111112,0.09486883181690967
KFC,Alimentari,60000000.0,1587195.0,1900000.0,506000.0,0.37037037037037035,0.05026914123459335,0.0063758389261744965,0.018740740740740742,0.08946821110564637
Burberry,Moda,17000000.0,7286918.0,20200000.0,430000.0,0.10493827160493827,0.23078897684714259,0.06778523489932886,0.015925925925925927,0.08410861084060192
Dolce e Gabbana,Moda,12000000.0,4805969.0,30500000.0,647000.0,0.07407407407407407,0.15221313980328652,0.10234899328859061,0.023962962962962964,0.08065782232520338
dolce e gabbana,Moda,12000000.0,4805873.0,30500000.0,647000.0,0.07407407407407407,0.1522100993214563,0.10234899328859061,0.023962962962962964,0.08065736625292885
Converse,Abbigliamento Sportivo,46000000.0,935286.0,10500000.0,157000.0,0.2839506172839506,0.02962208426106299,0.03523489932885906,0.005814814814814815,0.07531009530549469
versace,Moda,7500000.0,4924770.0,29400000.0,671000.0,0.046296296296296294,0.15597576773987334,0.09865771812080537,0.02485185185185185,0.07464138131807768
intel,Tecnologia,35000000.0,4469933.0,1800000.0,567000.0,0.21604938271604937,0.14157031321681932,0.006040268456375839,0.021,0.0728595174854643
amazon,E-Commerceretail,29000000.0,5920723.0,6100000.0,0.0,0.17901234567901234,0.18751927815920869,0.02046979865771812,0.0,0.07109479038988512
pepsi,Bevande,36000000.0,2455757.0,2100000.0,975000.0,0.2222222222222222,0.07777796393690836,0.007046979865771812,0.03611111111111111,0.06941091532133417
prada,Moda,8100000.0,1989266.0,34000000.0,395000.0,0.05,0.06300340758833954,0.11409395973154363,0.01462962962962963,0.06377228593318009
rolex,Orologeria,8100000.0,896443.0,17500000.0,2530000.0,0.05,0.028391860972194698,0.0587248322147651,0.0937037037037037,0.0629235815321081
lg,Tecnologia,45000000.0,350910.0,57700.0,471000.0,0.2777777777777778,0.011113911240037393,0.00019362416107382552,0.017444444444444443,0.06252374403127034
Puma,Abbigliamento Sportivo,22000000.0,1857326.0,13000000.0,904000.0,0.13580246913580246,0.05882464537292666,0.0436241610738255,0.03348148148148148,0.061297091453382864
VW,Auto,33000000.0,720127.0,11000000.0,332000.0,0.2037037037037037,0.022807636030761188,0.03691275167785235,0.012296296296296296,0.06077023812149213
razer,Tecnologia,10000000.0,3080422.0,7400000.0,2000000.0,0.06172839506172839,0.09756215750436999,0.024832214765100672,0.07407407407407407,0.05789350002800863
asus,Tecnologia,26000000.0,988592.0,3400000.0,1320000.0,0.16049382716049382,0.031310375140665835,0.011409395973154362,0.04888888888888889,0.05545527696046934
twitch,Tecnologia,1700000.0,9593615.0,6100000.0,0.0,0.010493827160493827,0.30384595930891495,0.02046979865771812,0.0,0.05484008885863735
Emirates,Aviazione,12000000.0,1695409.0,8600000.0,1890000.0,0.07407407407407407,0.05369646103434088,0.028859060402684565,0.07,0.05396995511090555
sony,Tecnologia,8500000.0,6139391.0,3200000.0,726000.0,0.05246913580246913,0.19444486233474229,0.010738255033557046,0.02688888888888889,0.051485612439116805
EA7,Abbigliamento Sportivo,8600000.0,3147936.0,19600000.0,257000.0,0.05308641975308642,0.09970043969484584,0.06577181208053691,0.009518518518518518,0.05144803968858763
Alibaba,Altro,26000000.0,262636.0,13800000.0,0.0,0.16049382716049382,0.008318124853775786,0.046308724832214765,0.0,0.0495545378514403
Ralph Lauren,Abbigliamento Sportivo,9400000.0,2217334.0,16700000.0,292000.0,0.05802469135802469,0.07022670560974915,0.05604026845637584,0.010814814814814815,0.0449974825172433
Saint Laurent,Moda,3700000.0,3834716.0,13500000.0,410000.0,0.022839506172839506,0.12145192002151901,0.04530201342281879,0.015185185185185185,0.043196949491337885
nissan,Auto,22000000.0,751165.0,7400000.0,266000.0,0.13580246913580246,0.023790661812495197,0.024832214765100672,0.009851851851851851,0.042375923822375566
Toyota,Auto,21000000.0,236357.0,10000000.0,74900.0,0.12962962962962962,0.007485824624437943,0.03355704697986577,0.002774074074074074,0.03962598828476686
Valentino,Moda,3400000.0,2305472.0,18900000.0,177000.0,0.020987654320987655,0.07301818464675128,0.0634228187919463,0.006555555555555556,0.03931491180505809
Subway,Alimentari,21000000.0,2034602.0,1400000.0,124000.0,0.12962962962962962,0.0644392751326624,0.004697986577181208,0.0045925925925925926,0.038613890275616486
Heineken,Birra,23000000.0,164277.0,853000.0,698000.0,0.1419753086419753,0.005202929516912094,0.0028624161073825503,0.02585185185185185,0.037932902349071325
Fendi,Moda,3700000.0,1113343.0,21100000.0,258000.0,0.022839506172839506,0.03526144960735503,0.07080536912751678,0.009555555555555555,0.03750566453696869
Lacoste,Abbigliamento Sportivo,16000000.0,1110923.0,8600000.0,105000.0,0.09876543209876543,0.03518480412788482,0.028859060402684565,0.0038888888888888888,0.03629814484654208
bitget,Criptovalute,1200000.0,4479232.0,72200.0,1150000.0,0.007407407407407408,0.14186482822243646,0.00024228187919463087,0.04259259259259259,0.03562378215034285
coinbase,Criptovalute,414245.0,6724199.0,553000.0,122000.0,0.002557067901234568,0.2129667175240039,0.001855704697986577,0.004518518518518519,0.03446147340869836
shell,Carburanti,9900000.0,557426.0,487000.0,1580000.0,0.06111111111111111,0.017654621090561925,0.0016342281879194631,0.05851851851851852,0.03299795080713388
Hugo Boss,Moda,8600000.0,648440.0,12300000.0,263000.0,0.05308641975308642,0.020537187895727817,0.0412751677852349,0.00974074074074074,0.031066393082030894
Under Armour,Abbigliamento Sportivo,11000000.0,913086.0,8200000.0,304000.0,0.06790123456790123,0.028918972837823898,0.027516778523489934,0.011259259259259259,0.030926743100253083
okx,Criptovalute,204041.0,5697995.0,663000.0,254000.0,0.0012595123456790123,0.18046510693960524,0.0022248322147651006,0.009407407407407408,0.030922582007466594
turkish Airlines,Aviazione,10000000.0,1758943.0,2800000.0,602000.0,0.06172839506172839,0.05570868991560541,0.009395973154362415,0.022296296296296297,0.03067946199260222
Visa,Altro,22000000.0,413252.0,233000.0,85600.0,0.13580246913580246,0.013088387471909987,0.0007818791946308725,0.0031703703703703703,0.03034852077717891
bybit,Criptovalute,4400000.0,4939038.0,436000.0,81300.0,0.027160493827160494,0.15642765935189026,0.0014630872483221476,0.003011111111111111,0.030311661538461723
richard mille,Orologeria,359591.0,80543.0,2700000.0,2270000.0,0.0022196975308641977,0.002550932583871454,0.009060402684563758,0.08407407407407408,0.029219942555573093
Givenchy,Moda,2700000.0,1094921.0,16000000.0,116000.0,0.016666666666666666,0.034677993812809504,0.053691275167785234,0.004296296296296296,0.028615867602868477
Hermes,Moda,4000000.0,160275.0,15400000.0,420000.0,0.024691358024691357,0.005076179430614668,0.05167785234899329,0.015555555555555555,0.028453613508344786
honda,Auto,5600000.0,1160996.0,6100000.0,664000.0,0.0345679012345679,0.036770700447517755,0.02046979865771812,0.024592592592592593,0.026971392622020363
aramco,Carburanti,14000000.0,1393910.0,758000.0,163000.0,0.08641975308641975,0.04414747945798217,0.0025436241610738257,0.006037037037037037,0.026607452103468224
Jeep,Auto,6300000.0,1101083.0,8400000.0,267000.0,0.03888888888888889,0.03487315474028695,0.028187919463087248,0.009888888888888888,0.025841189467568023
New Balance,Abbigliamento Sportivo,9500000.0,311388.0,8700000.0,194000.0,0.05864197530864197,0.00986218287655742,0.02919463087248322,0.007185185185185185,0.02558139885413669
Armani,Moda,810422.0,3147936.0,5500000.0,257000.0,0.005002604938271605,0.09970043969484584,0.018456375838926176,0.009518518518518518,0.02527087404106091
The North Face,Abbigliamento Sportivo,7000000.0,659841.0,5500000.0,557000.0,0.043209876543209874,0.02089827678475254,0.018456375838926176,0.02062962962962963,0.024425337258867905
renault,Auto,18000000.0,131698.0,180000.0,87400.0,0.1111111111111111,0.00417109766746586,0.0006040268456375838,0.003237037037037037,0.024030407379426365
reebok,Abbigliamento Sportivo,10000000.0,644395.0,4300000.0,168000.0,0.06172839506172839,0.020409075926943937,0.014429530201342283,0.006222222222222222,0.022324042638523733
Budweiser,Birra,14000000.0,33683.0,735000.0,223000.0,0.08641975308641975,0.0010667973904938005,0.0024664429530201343,0.00825925925925926,0.020785003037192842
nikon,Tecnologia,14000000.0,0.0,205000.0,252000.0,0.08641975308641975,0.0,0.0006879194630872483,0.009333333333333334,0.020324722429364485
Kappa,Abbigliamento Sportivo,1100000.0,3723000.0,933000.0,4630.0,0.006790123456790123,0.1179136859783398,0.0031308724832214765,0.00017148148148148147,0.020192327401680955
Moschino,Moda,1500000.0,498611.0,11600000.0,81200.0,0.009259259259259259,0.015791850894264298,0.038926174496644296,0.0030074074074074074,0.01874701278203922
corona,Birra,14000000.0,46076.0,908000.0,13200.0,0.08641975308641975,0.0014593045917641646,0.003046979865771812,0.0004888888888888889,0.018715955925735373
Lululemon,Abbigliamento Sportivo,3400000.0,864298.0,5400000.0,306000.0,0.020987654320987655,0.027373774634355932,0.018120805369127517,0.011333333333333334,0.018045878938545548
lenovo,Tecnologia,6600000.0,713664.0,1300000.0,390000.0,0.040740740740740744,0.022602941925878563,0.00436241610738255,0.014444444444444444,0.017398768407947157
