category,brand_power_index
Tecnologia,0.09978781230275334
Moda,0.07141651221233758
Alimentari,0.054207716573663946
Abbigliamento Sportivo,0.040105768745367004
Auto,0.04004606367738151
Bevande,0.03698914237541302
Aviazione,0.03462381663422253
Criptovalute,0.033533457345137754
Orologeria,0.023309043864003353
E-Commerceretail,0.01648026199438303
Altro,0.01611959294906603
Birra,0.008947580738451175
Carburanti,0.008859083302644158
Pneumatici,0.004630898627667275
Compagnie Telefoniche ,0.003290991347674039
Logistica,0.00304580288024368
Scommesse,0.003030304824439165
Assicurazioni,0.0028365046979537674
Banche,0.001666902648140501
Energia,0.0006746673718983414
