club,league,facebook,x,instagram,youtube
Real Madrid,Europe,132000000.0,48892183.0,180000000.0,19000000.0
Barcelona,Europe,123000000.0,46132210.0,146000000.0,25100000.0
Manchester United,Europe,85000000.0,37785441.0,65300000.0,10600000.0
Bayern Monaco,Europe,64000000.0,6494125.0,44100000.0,5120000.0
Chelsea,Europe,57000000.0,25235021.0,44500000.0,6240000.0
Juventus,Europe,46000000.0,9430488.0,60000000.0,12900000.0
Manchester City,Europe,56000000.0,17645421.0,56300000.0,9010000.0
Arsenal,Europe,47000000.0,21411952.0,31700000.0,5180000.0
PSG,Europe,54000000.0,14613125.0,65700000.0,9930000.0
Liverpool,Europe,53000000.0,24108365.0,49000000.0,12000000.0
Milan,Europe,29000000.0,7920765.0,18200000.0,2190000.0
Borussia Dortmund,Europe,16000000.0,4062923.0,20800000.0,1570000.0
Atlético Madrid,Europe,23000000.0,5125827.0,17900000.0,8310000.0
Inter,Europe,34000000.0,2886796.0,14300000.0,4010000.0
Tottenham,Europe,37000000.0,8700983.0,17400000.0,4900000.0
Roma,Europe,10000000.0,2192888.0,7300000.0,4830000.0
Leicester,Europe,9800000.0,2648335.0,7700000.0,707000.0
AS Monaco,Europe,11000000.0,2028848.0,2900000.0,300000.0
Olympique Marsiglia,Europe,7400000.0,3842411.0,3800000.0,890000.0
Napoli,Europe,5500000.0,2009950.0,5300000.0,339000.0
Arsenal,Premier League,47000000.0,21411952.0,31700000.0,5180000.0
Aston Villa,Premier League,7100000.0,2368453.0,4400000.0,757000.0
Bournemouth,Premier League,1200000.0,736301.0,1100000.0,242000.0
Brentford,Premier League,1500000.0,396408.0,875000.0,280000.0
Brighton & Hove Albion,Premier League,2200000.0,1049442.0,2100000.0,795000.0
Burnley,Premier League,1100000.0,810011.0,833000.0,191000.0
Chelsea,Premier League,57000000.0,25235021.0,44500000.0,6240000.0
Crystal Palace,Premier League,2500000.0,1498124.0,2300000.0,387000.0
Everton,Premier League,4900000.0,2929653.0,3300000.0,952000.0
Fulham,Premier League,1800000.0,784862.0,1300000.0,343000.0
Leeds United,Premier League,1700000.0,1064588.0,1300000.0,508000.0
Liverpool,Premier League,53000000.0,24108365.0,49000000.0,12000000.0
Manchester City,Premier League,56000000.0,17645421.0,56300000.0,9010000.0
Manchester United,Premier League,85000000.0,37785441.0,65300000.0,10600000.0
Newcastle United,Premier League,5000000.0,2761975.0,3500000.0,913000.0
Nottingham Forest,Premier League,1400000.0,706325.0,1300000.0,285000.0
Sunderland,Premier League,2600000.0,1041204.0,1200000.0,178000.0
Tottenham Hotspur,Premier League,37000000.0,8700983.0,17400000.0,4900000.0
West Ham United,Premier League,4500000.0,2629843.0,4400000.0,759000.0
Wolverhampton Wanderers,Premier League,3600000.0,1292300.0,3000000.0,805000.0
Birmingham City,Championship,516004.0,450467.0,321000.0,79500.0
Blackburn Rovers,Championship,348948.0,297456.0,205000.0,42900.0
Bristol City,Championship,238804.0,215058.0,182000.0,47200.0
Charlton Athletic,Championship,237559.0,189815.0,127000.0,27800.0
Coventry City,Championship,435540.0,203927.0,234000.0,46600.0
Derby County,Championship,608936.0,395450.0,450000.0,81100.0
Hull City,Championship,1100000.0,543069.0,585000.0,88900.0
Ipswich Town,Championship,421937.0,284297.0,607000.0,134000.0
Leicester City,Championship,9800000.0,2648335.0,7700000.0,707000.0
Middlesbrough,Championship,524904.0,386960.0,171000.0,51300.0
Millwall,Championship,221080.0,171970.0,177000.0,28900.0
Norwich City,Championship,1100000.0,828750.0,528000.0,222000.0
Oxford United,Championship,85471.0,105613.0,363000.0,60400.0
Portsmouth,Championship,306315.0,178800.0,191000.0,52500.0
Preston North End,Championship,158336.0,135328.0,103000.0,24200.0
Queens Park Rangers,Championship,804765.0,450617.0,232000.0,57000.0
Sheffield United,Championship,1500000.0,564131.0,742000.0,304000.0
Sheffield Wednesday,Championship,389000.0,363245.0,155000.0,70800.0
Southampton,Championship,3400000.0,1536846.0,1400000.0,342000.0
Stoke City,Championship,1200000.0,1010733.0,447000.0,59500.0
Swansea City,Championship,1300000.0,964574.0,471000.0,70500.0
Watford,Championship,1900000.0,873937.0,1100000.0,199000.0
West Bromwich Albion,Championship,883285.0,1081832.0,430000.0,52500.0
Wrexham,Championship,492460.0,591741.0,1500000.0,163000.0
Angers,Ligue 1,421070.0,168157.0,190000.0,7140.0
Auxerre,Ligue 1,252263.0,118386.0,168000.0,15900.0
Brest,Ligue 1,900485.0,156703.0,395000.0,32000.0
Le Havre,Ligue 1,153375.0,99962.0,178000.0,19400.0
Lens,Ligue 1,1200000.0,370482.0,490000.0,135000.0
Lille,Ligue 1,2200000.0,801811.0,1100000.0,150000.0
Lorient,Ligue 1,414699.0,280102.0,191000.0,7780.0
Olympique Lyonnais,Ligue 1,5200000.0,2098953.0,2900000.0,292000.0
Olympique de Marseille,Ligue 1,7400000.0,3842411.0,3800000.0,890000.0
Metz,Ligue 1,336839.0,194166.0,280000.0,6730.0
AS Monaco,Ligue 1,11000000.0,2028848.0,2900000.0,300000.0
Nantes,Ligue 1,978901.0,578322.0,610000.0,85700.0
OGC Nice,Ligue 1,1400000.0,526006.0,819000.0,138000.0
Paris FC,Ligue 1,409559.0,74158.0,350000.0,19900.0
PSG,Ligue 1,54000000.0,14613125.0,65700000.0,9930000.0
