brand,league,facebook,x,instagram,youtube
Adidas,Europe,43000000.0,4120476.0,29400000.0,2190000.0
Nike,Europe,39000000.0,9598061.0,298000000.0,2210000.0
Puma,Europe,22000000.0,1857326.0,13000000.0,904000.0
New Balance,Europe,9500000.0,311388.0,8700000.0,194000.0
Umbro,Europe,758200.0,165670.0,863000.0,16500.0
Macron,Europe,195000.0,47036.0,184000.0,2470.0
Kappa,Europe,1100000.0,3723.0,933000.0,4630.0
Joma,Europe,531000.0,44770.0,231000.0,8300.0
Under Armour,Europe,11000000.0,913086.0,8200000.0,304000.0
Le Coq Sportif,Europe,1600000.0,75817.0,383000.0,7430.0
Jako,Europe,142027.0,,,1030.0
Errea,Europe,329511.0,19137.0,80700.0,1330.0
Luke Sport,Europe,1703.0,2862.0,,812000.0
Hummel,Europe,2000000.0,51273.0,198000.0,4250.0
Kelme,Europe,61247.0,320000.0,109000.0,35000.0
Lotto,Europe,1100000.0,11521.0,399000.0,2020.0
Uhlsport,Europe,30244.0,,193000.0,13300.0
Lacatoni,Europe,33163.0,871000.0,8928.0,76000.0
Acerbis,Europe,10717.0,2346.0,6737.0,4430.0
Legea,Europe,35200.0,1309.0,24000.0,95000.0
Craft,Europe,44460.0,6471.0,216000.0,
Elev8,Europe,40875.0,,289000.0,
Givova,Europe,49900.0,2138.0,49600.0,498000.0
Adidas,Premier League,41000000.0,760135.0,1500000.0,2200000.0
Umbro,Premier League,758035.0,165630.0,863000.0,16500.0
Joma,Premier League,,11517.0,5697.0,8300.0
Nike,Premier League,39000000.0,9596897.0,298000000.0,2210000.0
Castore,Premier League,87928.0,5611.0,255000.0,1640.0
Macron,Premier League,195112.0,47019.0,184000.0,2470.0
Puma,Premier League,22000000.0,1857214.0,160000.0,904000.0
Hummel,Premier League,2000000.0,51257.0,198000.0,4250.0
SUDU,Premier League,,20000.0,6413.0,72000.0
Adidas,Championship,41000000.0,760135.0,1500000.0,2200000.0
Nike,Championship,39000000.0,9596897.0,298000000.0,2210000.0
Macron,Championship,195112.0,47019.0,184000.0,2470.0
O’Neills,Championship,2230.0,4692.0,168000.0,2060.0
Reebok,Championship,10000000.0,644474.0,4300000.0,168000.0
Hummel,Championship,2000000.0,51257.0,198000.0,4250.0
Puma,Championship,22000000.0,1857214.0,160000.0,904000.0
Kappa,Championship,1100000.0,10670.0,3526.0,
Umbro,Championship,758035.0,165630.0,863000.0,16500.0
Castore,Championship,87928.0,5611.0,255000.0,1640.0
Erreà,Championship,329501.0,19135.0,80700.0,1330.0
Joma,Championship,,11517.0,5697.0,8300.0
Kelme,Championship,61254.0,2762.0,1488.0,35000.0
Adidas,Ligue 1,41000000.0,399655.0,622000.0,2200000.0
Nike,Ligue 1,39000000.0,9596940.0,298000000.0,2210000.0
Puma,Ligue 1,22000000.0,1857273.0,217000.0,904000.0
Macron,Ligue 1,195112.0,47020.0,42700.0,2470.0
Kappa,Ligue 1,1100000.0,25834.0,933000.0,
Mizuno,Ligue 1,2200000.0,5548.0,27100.0,9580.0
