FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE_AGGR,Aggregato,VALUATION,Valutazione,ADJUSTMENT,Correzione,EDITION,Edizione,TIME_PERIOD,Osservazione,NOTE_DATA_TYPE_AGGR,Aggregato (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valutazione (NOTE_VALUATION),NOTE_EDITION,Edizione (NOTE_EDITION),UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2015,1759418,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2016,1781169,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2017,1809733,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2018,1824693,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2019,1832524,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2020,1670012,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2021,1819162,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2022,1906867,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M6,Giu-2025,2023,1920508,,,,,,,EURO,Euro,6,Milioni
A,Annuale,IT,Italia,B1GQ_B_W2_S1,Prodotto interno lordo ai prezzi di mercato,L_2020,Valori concatenati con anno di riferimento 2020,N,Dati grezzi,2025M12,Dic-2025,2015,1759418,,,,,,,EURO,Euro,6,Milioni
